Class1,Class2,Class3,PredictedLabel
0.944,0.056,0.0,0.0
0.0252,0.8931,0.0817,1.0
0.0003,0.0956,0.9041,2.0
0.9505,0.0495,0.0,0.0
0.0154,0.8861,0.0984,1.0
0.0005,0.1455,0.854,2.0
0.9407,0.0593,0.0,0.0
0.024,0.8993,0.0767,1.0
0.0,0.031,0.9689,2.0
0.955,0.045,0.0,0.0
0.1062,0.8891,0.0047,1.0
0.0003,0.122,0.8777,2.0
0.9561,0.0439,0.0,0.0
0.0252,0.8821,0.0927,1.0
0.0,0.0152,0.9848,2.0
0.9557,0.0443,0.0,0.0
0.0226,0.8722,0.1052,1.0
0.0003,0.1072,0.8925,2.0
0.9713,0.0287,0.0,0.0
0.0165,0.8577,0.1259,1.0
0.0001,0.0481,0.9519,2.0
0.9491,0.0509,0.0,0.0
0.0324,0.93,0.0376,1.0
0.0001,0.0318,0.9681,2.0
0.9509,0.0491,0.0,0.0
0.0747,0.9184,0.0069,1.0
0.0001,0.0539,0.9459,2.0
0.9578,0.0422,0.0,0.0
0.0484,0.9366,0.0151,1.0
0.0014,0.3749,0.6237,2.0
0.9444,0.0556,0.0,0.0
0.0378,0.9341,0.028,1.0
0.0002,0.0748,0.925,2.0
0.8912,0.1088,0.0,0.0
0.0272,0.9268,0.046,1.0
0.0009,0.2437,0.7553,2.0
0.9328,0.0672,0.0,0.0
0.027,0.9241,0.0489,1.0
0.0009,0.238,0.7611,2.0
0.955,0.045,0.0,0.0
0.0041,0.539,0.4569,1.0
0.0079,0.642,0.3501,1.0
0.9498,0.0502,0.0,0.0
0.1081,0.8887,0.0032,1.0
0.0028,0.4947,0.5025,2.0
0.9217,0.0783,0.0,0.0
0.0668,0.9258,0.0073,1.0
0.001,0.2227,0.7763,2.0
0.9702,0.0298,0.0,0.0
0.0022,0.3992,0.5986,2.0
0.0055,0.6404,0.3541,1.0
0.9568,0.0432,0.0,0.0
0.0251,0.8452,0.1297,1.0
0.0,0.023,0.977,2.0
0.9718,0.0282,0.0,0.0
0.0107,0.881,0.1083,1.0
0.0011,0.2291,0.7698,2.0
0.9533,0.0467,0.0,0.0
0.0224,0.9077,0.0699,1.0
0.0002,0.0894,0.9103,2.0
0.8845,0.1155,0.0,0.0
0.0217,0.8849,0.0934,1.0
0.0001,0.0479,0.952,2.0
0.8964,0.1036,0.0,0.0
0.0877,0.9068,0.0055,1.0
0.0,0.0205,0.9795,2.0
0.933,0.067,0.0,0.0
0.0622,0.9203,0.0176,1.0
0.0001,0.0322,0.9678,2.0
0.958,0.042,0.0,0.0
0.0344,0.931,0.0346,1.0
0.0004,0.117,0.8826,2.0
0.9546,0.0454,0.0,0.0
0.0353,0.9235,0.0411,1.0
0.0012,0.2352,0.7636,2.0
